foi,attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition
Surface,descriptive,textureProperty,,textureProperty,Texture Property,"The Texture property refers to the relative proportions of sand, silt, and clay in a soil. It is a key indicator of the soil’s ability to retain moisture, drain water, and support root growth. Soils can be classified into textures such as sandy, loamy, or clayey, each with distinct characteristics affecting soil management. Source: Soil Science Society of America. (2008). Soil Science Glossary. Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Surface,descriptive,weatheringFragmentsProperty,,weatheringFragmentsProperty,Weathering Fragments Property,"The Weathering Fragments property refers to soil particles or rock fragments that have been broken down through physical, chemical, or biological weathering. These fragments play a role in soil texture, structure, and nutrient availability. The degree of weathering can indicate the age and stability of the soil’s mineral content. Source: Brady, N. C., & Weil, R. R. (2008). The Nature and Properties of Soils (14th ed.). Pearson Prentice Hall.",,,True,Guidelines for Soil Description issued by the FAO: table 29
Surface,descriptive,saltCoverProperty,,saltCoverProperty,Salt Cover Property,"Salt cover refers to the accumulation of salts on the surface of the soil, often visible as a crystalline crust. This phenomenon occurs when capillary action causes soluble salts to move upwards through the soil, where they crystallize as water evaporates. Salt cover can interfere with seed germination, plant growth, and water infiltration, and is commonly found in arid and semi-arid regions with high evaporation rates. Source: Brady, N.C., & Weil, R.R. (2008). The Nature and Properties of Soils (14th ed.). Pearson Education. ",,,True,"Guidelines for Soil Description issued by the FAO: 22,1"
Surface,descriptive,saltPresenceProperty,,saltPresenceProperty,Salt Presence Property,"The salt presence property of soil refers to the concentration of soluble salts, such as sodium, calcium, and magnesium, within the soil profile. High salt levels can lead to soil salinity, negatively affecting plant growth by altering water availability and soil structure. The presence of salts is typically measured using electrical conductivity (EC) or specific ion concentration tests. Soils with high salt presence are often found in arid regions where evaporation exceeds precipitation, leading to salt accumulation at or near the surface. Source: Rhoades, J.D., & Kandiah, A. (1992). Soil Salinity Management in Agriculture. Springer. ",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Surface,descriptive,SaltThicknessProperty,,SaltThicknessProperty,SSalt Thickness Property,"Salt thickness refers to the depth of the soil profile at which soluble salts are present in significant concentrations. This property is particularly important in regions subject to evaporation and capillary rise, where salts accumulate near the surface or at specific depths. Salt thickness can impact soil fertility and water retention, as the concentrated salts can inhibit root growth and water uptake. This property is commonly determined through soil sampling and electrical conductivity measurements at various depths. Source: United States Salinity Laboratory Staff. (1954). Diagnosis and Improvement of Saline and Alkali Soils. U.S. Department of Agriculture Handbook No. 60. ",,,True,"Guidelines for Soil Description issued by the FAO: table 22,2"
Surface,descriptive,sealingConsistenceProperty,,sealingConsistenceProperty,Sealing Consistence Property,"The sealing consistence property of soil describes the resistance of the soil to the formation of a surface crust or compacted layer, which can impede water infiltration and root penetration. This phenomenon typically occurs in fine-textured soils, such as clays and silts, where the particles are tightly bound, leading to a hardened surface layer upon wetting and drying. Sealing consistence affects water movement and can lead to surface runoff and erosion in agricultural soils. Source: Soil Science Society of America (SSSA). (2008). Glossary of Soil Science Terms. Soil Science Society of America. ",,,True,"Guidelines for Soil Description issued by the FAO: table 20,2"
Surface,descriptive,sealingThicknessProperty,,sealingThicknessProperty,Sealing Thickness Property,"The sealing thickness property refers to the depth of the compacted or sealed layer within the soil, which is typically a result of intense rainfall, drying, or tillage practices. This layer, which forms in fine-textured soils, can significantly reduce water infiltration and root growth, leading to reduced soil aeration and potential surface runoff. The sealing thickness property is crucial for understanding soil erosion risks and water management in agricultural systems. Source: Pagliai, M., & Vignozzi, N. (2002). Soil Structure and Soil Quality: A Review of the State of the Art. Agriculture, Ecosystems & Environment, 88(3), 77-86. ",,,True,"Guidelines for Soil Description issued by the FAO: 20,1"
Plot-Site,descriptive,soilDepthBedrockProperty,,soilDepthBedrockProperty,Soil Depth Bedrock Property,"The Soil Depth Bedrock property refers to the distance from the soil surface to the underlying bedrock layer. This measurement is important for understanding the soil's capacity to support plant growth, as soils with shallow bedrock tend to have limited rooting depth, affecting water retention and nutrient availability. Source: FAO (2006). Guidelines for Soil Description (4th ed.). Food and Agriculture Organization of the United Nations.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,soilDepthProperty,,soilDepthProperty,Soil Depth Property,"The Soil Depth property measures the vertical distance from the soil surface to an impenetrable layer, such as bedrock or a hardpan. Soil depth is a crucial factor influencing root development, water storage, and plant growth. Shallow soils may limit root growth, while deep soils can support more extensive root systems. Source: Brady, N. C., & Weil, R. R. (2008). The Nature and Properties of Soils (14th ed.). Pearson Prentice Hall.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,soilDepthRootableClassProperty,,soilDepthRootableClassProperty,Soil Depth Rootable Class Property,"The Soil Depth Rootable Class property classifies soils based on the depth of the rootable zone, which excludes impenetrable layers such as bedrock or compacted horizons. Soils are typically classified as shallow, moderately deep, or deep, depending on the depth of the root zone, which directly affects plant growth. Source: FAO (2006). Guidelines for Soil Description (4th ed.). Food and Agriculture Organization of the United Nations.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,soilDepthRootableProperty,,soilDepthRootableProperty,Soil Depth Rootable Property,"The Soil Depth Rootable property refers to the actual vertical depth of soil that can support plant roots, excluding any non-rootable layers such as bedrock or a water-impervious horizon. This depth is crucial for determining the suitability of land for agriculture and vegetation. Source: Soil Science Society of America. (2008). Soil Science Glossary. Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,soilDepthSampledProperty,,soilDepthSampledProperty,Soil Depth Sampled Property,"The Soil Depth Sampled property indicates the specific depth of the soil profile that has been sampled for analysis. This property is important for understanding the representativeness of the sample, as different soil horizons may vary significantly in properties such as texture, fertility, and moisture content. Source: Soil Science Society of America. (2008). Soil Science Glossary. Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,weatheringFragmentsProperty,,weatheringFragmentsProperty,Weathering Fragments Property,"The Weathering Fragments property refers to soil particles or rock fragments that have been broken down through physical, chemical, or biological weathering. These fragments play a role in soil texture, structure, and nutrient availability. The degree of weathering can indicate the age and stability of the soil’s mineral content. Source: Brady, N. C., & Weil, R. R. (2008). The Nature and Properties of Soils (14th ed.). Pearson Prentice Hall.",,,True,Guidelines for Soil Description issued by the FAO: table 29
Plot-Site,descriptive,bareCoverAbundanceProperty,,bareCoverAbundanceProperty,Bare Cover Abundance Property,"Bare Cover Abundance Property refers to the extent of land area without vegetation or artificial cover, such as bare soil or rocky surfaces. High proportions of bare cover increase the risk of soil erosion and desertification, particularly in areas with poor vegetation or human disturbance. Source: FAO, 'Land Use and Land Cover Classification'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,cropClassProperty,,cropClassProperty,Crop Class Property,"Crop Class Property refers to the categorization of land based on the type of crops cultivated. This property is used to assess soil management practices and land productivity, as different crops require specific soil conditions for optimal growth. Source: FAO, 'Guidelines for Soil Profile Description'",,,True,Guidelines for Soil Description issued by the FAO: table 9
Plot-Site,descriptive,erosionActivityPeriodProperty,,erosionActivityPeriodProperty,Erosion Activity Period Property,"Erosion Activity Period Property refers to the time frame during which soil erosion processes, such as wind or water erosion, are most active in a given area. This period is influenced by climatic conditions, seasonal rainfall, and land use, and it helps in assessing the vulnerability of soils to degradation. Source: USDA NRCS, 'Soil Erosion and Conservation'",,,True,Guidelines for Soil Description issued by the FAO: table 19
Plot-Site,descriptive,erosionAreaAffectedProperty,,erosionAreaAffectedProperty,Erosion Area Affected Property,"Erosion Area Affected Property refers to the extent of land area that has been impacted by erosion processes, such as water or wind erosion. This property is important for evaluating the severity of soil degradation in a given region and helps in identifying areas that require soil conservation measures. Source: USDA NRCS, 'Soil Erosion Research and Technology Transfer'",,,True,Guidelines for Soil Description issued by the FAO: table 17
Plot-Site,descriptive,erosionCategoryProperty,,erosionCategoryProperty,Erosion Category Property,"Erosion Category Property classifies the type and severity of erosion in a given area. Categories are often based on the nature of the erosive forces (e.g., water, wind) and the degree of soil loss, ranging from slight to severe. This classification aids in prioritizing conservation efforts and understanding the potential impacts on soil quality. Source: FAO, 'Soil Erosion and Conservation'",,,True,Guidelines for Soil Description issued by the FAO: table 16
Plot-Site,descriptive,erosionDegreeProperty,,erosionDegreeProperty,Erosion Degree Property,"Erosion Degree Property refers to the level of intensity or severity of soil erosion in an area, categorized into classes such as slight, moderate, or severe. The degree of erosion helps in assessing the extent of soil degradation and informs decisions on soil conservation and land management. Source: FAO, 'Soil Erosion and Conservation'",,,True,Guidelines for Soil Description issued by the FAO: table 18
Plot-Site,descriptive,erosionTotalAreaAffectedProperty,,erosionTotalAreaAffectedProperty,Erosion Total Area Affected Property,"Erosion Total Area Affected Property quantifies the total land area affected by erosion processes. It is an important measure in understanding the broader impact of erosion on soil health, productivity, and ecosystem services across a landscape. Source: USDA NRCS, 'Soil Erosion and Landscape Analysis'",,,True,Guidelines for Soil Description issued by the FAO: table 17
Plot-Site,descriptive,floodDurationProperty,,floodDurationProperty,Flood Duration Property,"Flood Duration Property refers to the length of time during which an area is inundated by floodwaters. The duration of flooding can significantly affect soil structure, nutrient availability, and plant growth, especially in flood-prone regions. Source: USGS, 'Floodplain Management'",,,True,Guidelines for Soil Description issued by the FAO: table 174
Plot-Site,descriptive,floodFrequencyProperty,,floodFrequencyProperty,Flood Frequency Property,"Flood Frequency Property refers to how often flooding occurs in a particular area, typically expressed in terms of recurrence intervals (e.g., once every 10 years). This property is vital for assessing flood risk, soil erosion, and the potential for soil nutrient loss due to repeated flooding events. Source: USGS, 'Floodplain Management'",,,True,Guidelines for Soil Description issued by the FAO: table 174
Plot-Site,descriptive,ForestAbundanceProperty,,ForestAbundanceProperty,FForest Abundance Property,"Forest Abundance Property refers to the proportion or extent of land covered by forest vegetation in a given area. It is often quantified as the percentage of land area dominated by tree species, reflecting the ecological importance of forests in influencing soil fertility, moisture retention, and biodiversity. Forested areas typically contribute to soil formation and stabilization through leaf litter and root systems that reduce erosion. Source: FAO, 'Forest Resources Assessment'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,geologyProperty,,geologyProperty,Geology Property,"Geology Property refers to the underlying geological composition of an area, including rock types, mineral content, and geological processes. The geology of a region influences soil formation, structure, fertility, and drainage properties. Source: AGI, 'Encyclopedia of Geology'",,,True,Guidelines for Soil Description issued by the FAO: table 12
Plot-Site,descriptive,GrassAbundanceProperty,,GrassAbundanceProperty,GGrass Abundance Property,"Grass Abundance Property indicates the extent or percentage of land covered by grasses or herbaceous plants. This property is important for understanding land productivity, grazing capacity, and soil health, as grasses play a key role in preventing soil erosion, enhancing organic matter content, and maintaining soil structure. Source: FAO, 'Grassland Ecosystems and Management'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,groundwaterDepthProperty,,groundwaterDepthProperty,Groundwater Depth Property,"Groundwater Depth Property indicates the depth from the soil surface to the water table, which affects soil moisture levels, plant growth, and root penetration. Shallow groundwater can influence soil salinity and nutrient availability, while deep groundwater may limit water access for plants. Source: USDA NRCS, 'Groundwater and Soil'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,humanInfluenceClassProperty,,humanInfluenceClassProperty,Human Influence Class Property,"Human Influence Class Property classifies the extent of human impact on a landscape or ecosystem, ranging from minimal disturbance to high levels of modification. This classification helps in understanding the effects of urbanization, agriculture, or industrial activity on soil properties and ecosystem functions. Source: FAO, 'Land Degradation Assessment in Drylands'",,,True,Guidelines for Soil Description issued by the FAO: table 10
Plot-Site,descriptive,koeppenClassProperty,,koeppenClassProperty,Koeppen Class Property,"Koeppen Class Property refers to the classification of climate zones based on temperature and precipitation patterns, as defined by the Köppen climate classification system. This classification directly influences soil temperature, moisture content, and vegetation types, which in turn affect soil formation and properties. Source: Köppen, W., 'Geiger's Climate Maps'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,landUseClassProperty,,landUseClassProperty,Land Use Class Property,"Land Use Class Property refers to the classification of land based on its primary use, such as agricultural, industrial, urban, or natural areas. This property helps assess the impact of land management practices on soil quality, including erosion risks, compaction, and fertility, and is critical for sustainable land-use planning. Source: FAO, 'Land Use and Land Cover Classification'",,,True,Guidelines for Soil Description issued by the FAO: table 8
Plot-Site,descriptive,landformComplexProperty,,landformComplexProperty,Landform Complex Property,"Landform Complex Property describes a region with multiple interrelated landforms such as ridges, valleys, and hills. This property is essential for understanding how diverse landforms within a landscape influence soil distribution, water flow, and erosion patterns, ultimately affecting soil management strategies. Source: FAO, 'Soil Formation and Classification'",,,True,Guidelines for Soil Description issued by the FAO: table 5
Plot-Site,descriptive,lithologyProperty,,lithologyProperty,Lithology Property,"Lithology Property refers to the physical characteristics of the parent material, such as the mineral composition, texture, and structure of the underlying rocks or sediments. The lithology of an area influences soil formation by affecting drainage, nutrient content, and the ability of the soil to support vegetation. Source: AGI, 'Encyclopedia of Geology'",,,True,Guidelines for Soil Description issued by the FAO: table 12
Plot-Site,descriptive,MajorLandFormProperty,,MajorLandFormProperty,MMajor Land Form Property,"Major Land Form Property refers to the significant physical features of the land, such as mountains, valleys, and plateaus, that influence soil development and landscape processes. These landforms shape the flow of water, sediment transport, and nutrient cycling, directly affecting the types of soils that form in different regions. Source: FAO, 'World Soil Resources Report'",,,True,Guidelines for Soil Description issued by the FAO: table 4
Plot-Site,descriptive,ParentDepositionProperty,,ParentDepositionProperty,PParent Deposition Property,"Parent Deposition Property refers to the accumulation of materials, such as sediments or volcanic ash, that contribute to soil formation. These parent materials are deposited through natural processes such as erosion, weathering, or sediment transport, influencing soil texture, nutrient content, and water retention properties. Source: USDA NRCS, 'Soil Genesis and Classification'",,,True,Guidelines for Soil Description issued by the FAO: table 16
Plot-Site,descriptive,parentLithologyProperty,,parentLithologyProperty,Parent Lithology Property,"Parent Lithology Property is the specific geological composition of the parent material (e.g., bedrock or sediment) from which the soil develops. The mineral content and texture of this material directly affect the physical and chemical properties of the soil, such as fertility, permeability, and soil depth. Source: USDA NRCS, 'Soil Genesis and Classification'",,,True,Guidelines for Soil Description issued by the FAO: table 12
Plot-Site,descriptive,PhysiographyProperty,,PhysiographyProperty,PPhysiography Property,"Physiography Property describes the physical characteristics of a landscape, including its landforms, slopes, and elevation. These features influence soil properties such as drainage, erosion, and moisture retention, helping to determine soil suitability for various land uses. Source: FAO, 'Soil Geography and Mapping'",,,True,Guidelines for Soil Description issued by the FAO: figure 2
Plot-Site,descriptive,rockOutcropsCoverProperty,,rockOutcropsCoverProperty,Rock Outcrops Cover Property,"Rock Outcrops Cover Property measures the extent to which rock outcrops (exposed bedrock or rock masses) cover the landscape. The presence of rock outcrops can influence soil depth and water retention, as well as contribute to erosion and landscape stability, particularly in areas with minimal soil cover. Source: USDA NRCS, 'Soil Survey Manual'",,,True,"Guidelines for Soil Description issued by the FAO: table 14,1"
Plot-Site,descriptive,rockOutcropsDistanceProperty,,rockOutcropsDistanceProperty,Rock Outcrops Distance Property,"Rock Outcrops Distance Property quantifies the distance from a given point or area to the nearest rock outcrop. The proximity to rock outcrops can influence soil development, with areas closer to outcrops often having thinner soils and higher vulnerability to erosion. Source: FAO, 'Soil Formation and Classification'",,,True,"Guidelines for Soil Description issued by the FAO: table 14,2"
Plot-Site,descriptive,shrubsAbundanceProperty,,shrubsAbundanceProperty,Shrubs Abundance Property,"Shrubs Abundance Property refers to the extent or abundance of shrub vegetation in a given area. Shrubs influence soil structure by reducing erosion, improving soil organic matter through leaf litter, and enhancing nutrient cycling. They are also indicators of ecosystem health in many terrestrial environments. Source: FAO, 'Vegetation and Land Use in Arid Zones'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,slopeFormProperty,,slopeFormProperty,Slope Form Property,"Slope Form Property describes the shape or curvature of a slope, including its concave, convex, or straight profile. Slope form affects water runoff, erosion rates, and soil accumulation, influencing both the fertility and stability of the soil in hilly or mountainous regions. Source: FAO, 'Soil and Water Conservation'",,,True,Guidelines for Soil Description issued by the FAO: table 6
Plot-Site,descriptive,slopeGradientClassProperty,,slopeGradientClassProperty,Slope Gradient Class Property,"Slope Gradient Class Property refers to the classification of slope steepness, such as flat, moderate, or steep, based on its angle. The gradient of a slope influences soil erosion rates, water drainage, and the suitability of land for agriculture, with steeper slopes typically being more prone to erosion. Source: USDA NRCS, 'Soil Erosion and Conservation'",,,True,Guidelines for Soil Description issued by the FAO: table 7
Plot-Site,descriptive,slopeGradientProperty,,slopeGradientProperty,Slope Gradient Property,"Slope Gradient Property refers to the numerical measurement of the steepness of a slope, usually expressed as a percentage or angle. This property is crucial in determining soil erosion potential, water runoff, and suitability for land use, as steeper slopes are more prone to erosion and less suitable for cultivation without proper soil conservation measures. Source: USDA NRCS, 'Soil Erosion and Conservation'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,slopeOrientationClassProperty,,slopeOrientationClassProperty,Slope Orientation Class Property,"Slope Orientation Class Property classifies the direction in which a slope faces (north, south, east, west) and can significantly affect local climate conditions, such as sunlight exposure, moisture, and temperature. For instance, south-facing slopes in the Northern Hemisphere receive more sunlight, influencing soil temperature, vegetation types, and soil moisture availability. Source: FAO, 'Soil and Water Conservation'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,slopeOrientationProperty,,slopeOrientationProperty,Slope Orientation Property,"Slope Orientation Property refers to the precise directional orientation of a slope, measured in degrees from a cardinal direction (e.g., 0° for north, 180° for south). The slope orientation impacts factors such as solar radiation, evaporation rates, and vegetation cover, all of which affect soil temperature, moisture retention, and erosion potential. Source: USDA NRCS, 'Soil Erosion and Landscape Analysis'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,slopePathwaysProperty,,slopePathwaysProperty,Slope Pathways Property,"Slope Pathways Property identifies the natural flow paths of water, sediment, or other materials across a slope. These pathways, often defined by the topography, influence how water moves, erodes soil, and accumulates nutrients or contaminants. Understanding these pathways is critical for effective erosion control and water management in sloped areas. Source: FAO, 'Soil Erosion and Conservation'",,,True,Guidelines for Soil Description issued by the FAO: figure 3
Plot-Site,descriptive,surfaceAgeProperty,,surfaceAgeProperty,Surface Age Property,"Surface Age Property refers to the estimated age of a surface layer of soil or landform, which is important for understanding the degree of soil weathering, development, and fertility. Older surfaces may have more developed soils, while younger surfaces may be less fertile and more prone to erosion. Source: FAO, 'Soil Formation and Evolution'",,,True,Guidelines for Soil Description issued by the FAO: table 13
Plot-Site,descriptive,treeDensityProperty,,treeDensityProperty,Tree Density Property,"Tree Density Property refers to the number of trees per unit area, usually expressed as trees per hectare. High tree density is often associated with forested ecosystems that contribute to soil fertility through organic matter inputs, root structures that stabilize the soil, and enhanced moisture retention. Source: FAO, 'Forest Resources Assessment'",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Plot-Site,descriptive,VegetationClassProperty,,VegetationClassProperty,VVegetation Class Property,"Vegetation Class Property refers to the categorization of vegetation types based on species composition and structure, such as forests, grasslands, and wetlands. The class of vegetation affects soil fertility, microbial activity, and water retention, which in turn influences agricultural potential and ecosystem services. Source: FAO, 'Vegetation and Land Use in Arid Zones'",,,True,Guidelines for Soil Description issued by the FAO: table 11
Plot-Site,descriptive,weatherConditionsCurrentProperty,,weatherConditionsCurrentProperty,Weather Conditions Current Property,"Weather Conditions Current Property describes the current atmospheric conditions in a specific location, including factors like temperature, humidity, wind speed, and precipitation. These conditions directly affect soil moisture, temperature, and erosion rates, influencing soil fertility and the ability to support plant growth. Source: USGS, 'Meteorological and Soil Interactions'",,,True,Guidelines for Soil Description issued by the FAO: table 2
Plot-Site,descriptive,weatherConditionsPastProperty,,weatherConditionsPastProperty,Weather Conditions Past Property,"Weather Conditions Past Property refers to historical weather data, including past patterns of temperature, precipitation, and extreme weather events. Understanding past weather conditions helps in predicting soil behavior, erosion patterns, and agricultural productivity, as well as preparing for future changes in soil moisture and temperature. Source: USDA NRCS, 'Climate and Soil Interactions'",,,True,Guidelines for Soil Description issued by the FAO: table 2
Profile,descriptive,infiltrationRateClassProperty,,infiltrationRateClassProperty,Infiltration Rate Class Property,"The Infiltration Rate Class property classifies the soil’s ability to absorb water based on observed infiltration rates. This classification is typically divided into categories like slow, moderate, or rapid infiltration, based on how quickly water is absorbed into the soil. It is an essential property for understanding drainage, runoff, and irrigation needs. Source: Hillel, D. (2004). Introduction to Soil Physics. Academic Press.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Profile,descriptive,infiltrationRateNumericProperty,,infiltrationRateNumericProperty,Infiltration Rate Numeric Property,"The Infiltration Rate Numeric property provides a quantitative measure of the rate at which water enters the soil, usually expressed in units such as millimeters per hour (mm/h). This numeric value is essential for determining soil permeability, irrigation management, and runoff prediction. Higher infiltration rates indicate well-drained soils, while lower rates suggest compacted or clay-rich soils. Source: Bouwer, H. (2000). Integrated Water Management for the 21st Century. Water Resources Research.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
Profile,descriptive,soilDepthBedrockProperty,,soilDepthBedrockProperty,Soil Depth Bedrock Property,"The Soil Depth Bedrock property refers to the distance from the soil surface to the underlying bedrock layer. This measurement is important for understanding the soil's capacity to support plant growth, as soils with shallow bedrock tend to have limited rooting depth, affecting water retention and nutrient availability. Source: FAO (2006). Guidelines for Soil Description (4th ed.). Food and Agriculture Organization of the United Nations.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 1
